#####SitedataenteredbyLizzie 2016,,,,,,,,,,,,,,,,,,,,
##GPS references in NZTM 2000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Line,Plot,Area,Date,People,Substrate,Cultural,East,North,Altitude,Aspect,Slope,Shape,Physiography,Time,Drainage,Species,Animal,Score,Pellets,Comments
L,4,Awatere,29/03/16,"Sean, Lizzie",Colluvial,Grazed,1615915,5331886,1131,255,26,Linear,Face,3.5,Good,POApra,deer,L,Yes,"All pegs up rooted, plot relocated using GPS. Co-ordinates. Heavely grazed prev Spring"
L,4,,,,,,,,,,,,,,,POApra,cattle,L,Yes,
L,4,,,,,,,,,,,,,,,POApra,hare,L,Yes,
LD,1Fe,Leader Dale,14/01/16,"Sean, Lizzie, Emi",Colluvial,,1586578.20107806,5308445.73829392,940,70,12,Convex,Face,2,Good,POAcol,hare,L,Yes,Cattle seen behind fence
LD,1Fe,,,,,,,,,,,,,,,MELalp,hare,M,Yes,
LD,1Un,Leader Dale,15/01/16,"Sean, Lizzie, Emi",Colluvial,,1586535.21013858,5308401.75889239,940,240,12,Convex,Face,2,Good,MELalp,hare,M,Yes,
LD,2Fe,Leader Dale,15/01/16,"Sean, Lizzie, Emi",Colluvial,,1586664.15516038,5308317.77105676,930,250,8,Linear,Face,2,Good,MELalp,hare,M,Yes,Cattle seen above fence
LD,2Un,Leader Dale,21/01/16,"Sean, Lizzie, Emi",Colluvial,,1586611,5308282,940,140,7,Linear,Face,2,Good,,hare,,Yes,Cattle not bothered coming here
LD,3Fe,Leader Dale,21/01/16,"Sean, Lizzie, Emi",Colluvial,,1586890,5308221,890,230,4,Linear,Terrace,2.5,Medium,,cattle,,Yes,Cattle inside fence. Not as wet as LD-3Unfenced
LD,3Fe,,,,,,,,,,,,,,,,horse,,Yes,
LD,3Un,Leader Dale,21/01/16,"Sean, Lizzie, Emi",Alluvial,,1586891,5308129,890,140,1,Linear,Terrace,,Medium,POAcol,cattle,M,Yes,All corner pegs trampled by cattle
LD,3Un,,,,,,,,,,,,,,,,deer,,Yes,
LD,3Un,,,,,,,,,,,,,,,,possum,,Yes,
LD,3Un,,,,,,,,,,,,,,,POApra,cattle,M,,
LD,3Un,,,,,,,,,,,,,,,FESrub,cattle,M,,
LD,4Fe,Leader Dale,21/01/16,"Sean, Lizzie, Emi",Alluvial,Grazed,1586917,5308260,890,130,3,Linear,Terrace,3,Medium,,cattle,,Yes,Cattle grazed plot in past week. Fence looks good though
LD,4Fe,,,,,,,,,,,,,,,,hare,,Yes,
LD,4Un,Leader Dale,21/01/16,"Sean, Lizzie, Emi",Alluvial,Grazed,1586996,5308230,890,110,2,Linear,Terrace,2,Medium,FESrub,cattle,L,Yes,Two pegs trampled deep by cattle
LD,4Un,,,,,,,,,,,,,,,FESnov,hare,L,Yes,
LD,5Fe,Leader Dale,22/01/16,"Sean, Lizzie, Emi",Colluvial,,1587017,5308421,930,190,14,Linear,Face,2,Good,,,,,
LD,5Un,Leader Dale,22/01/16,"Sean, Lizzie, Emi",,Grazed,1587067,5308418,930,150,5,Linear,Face,3,Good,CHImac,hare,M,Yes,No cattle grazing near plot
LD,6Fe,Leader Dale,22/01/16,"Sean, Lizzie, Emi",Colluvial,,1587070,5308635,980,70,14,Linear,Face,2,Good,MELalp,hare,H,Yes,
LD,6Un,Leader Dale,22/01/16,"Sean, Lizzie, Emi",,Grazed,1587096,5308634,980,170,10,Linear,Face,2,Good,CHImac,hare,M,Yes,No sign of grazing near plot
M,1,Robinson Saddle,24/02/16,"Sean, Graeme, Betka, Emi",Colluvial,Grazed,1621979,5328607,1115,90,9,Concave,Terrace,3.5,Good,CHIfla,hare,H,Yes,Three pegs up rooted
Molesworth,1,Bowscale,23/03/16,"Sean, Lizzie",Morraine,,1595394,5335823,1035,130,3,Linear,Terrace,3,Poor,,,,,M1-A- Finish =1595377   - 5335870
M,1,,,,,,,,,,,,,,,KOEnov,cattle,L,Yes,
M,1,,,,,,,,,,,,,,,CARuni,hare,H,Yes,
M,2,Robinson Saddle,24/02/16,"Sean, Graeme, Betka, Emi",Colluvial,Grazed,1622055,5328804,1065,120,29,Convex,Face,3.5,Good,RYTset,cattle,L,Yes,�B� corner up rooted
Molesworth,2,Fish Lake,25/03/16,"Sean, Lizzie",Morraine,,1593985,5337053,1023,145,4,Linear,Terrace,2.5,Good,,,,,M2-A- Finish =1594002   -5337004
M,2,,,,,,,,,,,,,,,CARaus,hare,H,Yes,
M,3,Robinson Saddle,25/02/16,"Sean, Emi, Betka",Colluvial,Grazed,1622149,5329017,1060,10,25,Linear,Face,3,Good,MELalp,hare,H,Yes,
Molesworth,3,Lake Sedgemere,12/02/16,"Sean, Emi, Betka",Alluvail,,1593217,5335124,1005,270,1,Linear,Terrace,2,Poor,,,,,"In past surveys, AGRcas may have been called AGRcap"
M,3,,,,,,,,,,,,,,,DACglo,deer,M,Yes,
M,3,,,,,,,,,,,,,,,POAcol,cattle,L,Yes,
Molesworth,3,,,,,,,,,,,,,,,,,,,Plot Finish =1593267   -5335114
M,4,Robinson Saddle,25/02/16,"Sean, Emi, Betka",Colluvial,Grazed,1622221,5329187,1030,130,11,Concave,Terrace,3,Good,HOLlan,cattle,L,Yes,"�B� corner peg up rooted, �C� peg trampled"
Molesworth,4,Lake Sedgemere,13/02/16,"Sean, Emi, Betka",Alluvail,,1593827,5335115,1000,320,2,Linear,Terrace,2,Poor,,,,,End =1593840   -5335067
M,4,,,,,,,,,,,,,,,MUEaxi,hare,M,Yes,
Molesworth,5,Bowscale,23/03/16,"Sean, Lizzie",Morraine,,1594307,5336163,1047,150,2,Linear,Terrace,2.5,Good,,,,,M5-A- Finish =1594271   -5336127
Molesworth,6,Lake Sedgemere,13/02/16,"Sean, Emi, Betka",Alluvail,,1593303,5334939,1000,130,2,Linear,Terrace,,Poor,,,,,Behind cattle exclusion fence
Molesworth,6,,,,,,,,,,,,,,,,,,,End =1593249   -5334938
Molesworth,7,Lake Sedgemere,13/02/16,"Sean, Emi, Betka",Alluvail,Grazed,1593204,5334524,1010,30,1,Linear,Terrace,2.5,Medium,FESmat,cattle,M,Yes,Grazed hard
Molesworth,7,,,,,,,,,,,,,,,AGRcap,cattle,M,Yes,End =1593158   -5334544
Molesworth,7,,,,,,,,,,,,,,,POAcol,cattle,M,Yes,
Molesworth,8,Lake Sedgemere,13/02/16,"Sean, Emi, Betka",Alluvail,,1593352,5334714,1005,110,1,Linear,Terrace,2,Poor,,,,,Behind grazing fence
Molesworth,8,,,,,,,,,,,,,,,,,,,Start =1593318   -5334747
